
Host: gr043.hpc.nyu.edu

Timers On : Tue Nov 15 14:19:45 2022
Timers Off: Tue Nov 15 15:44:42 2022

Wall Time:     5096.78 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.250u      0.033s      0.278w     23 calls
Libint2ERI::Libint2ERI              :     31.783u      4.317s     21.740w    952 calls
DFH: initialize()                   :      0.533u      0.050s      0.366w     23 calls
DFH: AO Construction                :      0.133u      0.000s      0.075w     23 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.008w     23 calls
HF: Form core H                     :      0.650u      0.100s      0.532w    210 calls
HF: Form S/X                        :      0.083u      0.000s      0.069w    210 calls
HF: Guess                           :     14.017u      4.950s     11.550w    210 calls
SAD Guess                           :     13.517u      4.950s     11.134w    200 calls
HF: Form G                          :     10.300u      0.033s      6.445w   1640 calls
JK: D                               :      0.033u      0.000s      0.017w   1718 calls
JK: USO2AO                          :      0.133u      0.000s      0.101w   1718 calls
JK: JK                              :     10.217u      0.017s      6.352w   1718 calls
DFH: compute_JK()                   :      0.117u      0.000s      0.084w    239 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    239 calls
DFH: compute_J                      :      0.067u      0.000s      0.024w    239 calls
DFH: compute_K                      :      0.050u      0.000s      0.055w    239 calls
JK: J                               :      1.000u      0.000s      0.583w   1479 calls
JK: J1                              :      0.483u      0.000s      0.288w   1800 calls
JK: J2                              :      0.500u      0.000s      0.276w   1800 calls
JK: K                               :      8.850u      0.017s      5.500w   1479 calls
JK: K1                              :      7.900u      0.017s      4.964w   1839 calls
JK: K2                              :      0.900u      0.000s      0.525w   1800 calls
JK: AO2USO                          :      0.067u      0.000s      0.045w   1718 calls
HF: Form F                          :      0.000u      0.000s      0.020w   1640 calls
HF: Form D                          :      0.083u      0.000s      0.014w   1640 calls
HF: DIIS                            :      8.300u      0.400s      6.141w   1440 calls
HF: Form C                          :      1.083u      0.033s      0.771w   1440 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.033w     22 calls
Grad: S                             :      0.000u      0.000s      0.003w     22 calls
Grad: JK                            :      1.283u      0.033s      0.764w     22 calls
JKGrad: Amn                         :      0.333u      0.000s      0.176w     22 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     22 calls
JKGrad: AB                          :      0.217u      0.000s      0.135w     22 calls
JKGrad: UV                          :      0.000u      0.000s      0.002w     22 calls
JKGrad: ABx                         :      0.100u      0.000s      0.080w     22 calls
JKGrad: Amnx                        :      0.633u      0.033s      0.347w     22 calls
Grad: XC                            :      0.000u      0.000s      0.000w     22 calls
Hess: XC                            :      0.000u      0.000s      0.000w      6 calls
