
Host: gr004.hpc.nyu.edu

Timers On : Sun Nov 27 22:37:51 2022
Timers Off: Sun Nov 27 22:45:06 2022

Wall Time:      435.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.200u      0.033s      0.775w     53 calls
Libint2ERI::Libint2ERI              :      4.350u      3.067s      4.374w    689 calls
DFH: initialize()                   :     28.750u     14.583s     26.122w     53 calls
DFH: AO Construction                :     10.367u      1.833s      7.355w     53 calls
DFH: AO-Met. Contraction            :      8.417u      4.133s      7.604w     53 calls
HF: Form core H                     :      1.117u      1.483s      1.569w     53 calls
HF: Form S/X                        :      0.267u      0.333s      0.302w     53 calls
HF: Guess                           :      1.550u      1.800s      2.036w     53 calls
SAD Guess                           :      1.500u      1.800s      1.995w      9 calls
HF: Form G                          :     27.117u     24.983s     31.341w    550 calls
JK: D                               :      0.083u      0.083s      0.132w    550 calls
JK: USO2AO                          :      0.000u      0.000s      0.005w    550 calls
JK: JK                              :     26.883u     24.767s     31.067w    550 calls
DFH: compute_JK()                   :     26.867u     24.750s     31.049w    550 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    550 calls
DFH: compute_J                      :     10.100u     13.517s     14.083w    550 calls
DFH: compute_K                      :     15.850u     10.900s     16.121w    550 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    550 calls
HF: Form F                          :      0.717u      1.417s      1.276w    550 calls
HF: Form D                          :      0.083u      0.117s      0.122w    550 calls
HF: DIIS                            :      5.767u      8.317s      8.995w    541 calls
HF: Form C                          :      3.033u      3.000s      3.521w    541 calls
Grad: V T Perturb                   :      1.467u      1.650s      1.806w     53 calls
Grad: S                             :      0.200u      0.117s      0.259w     53 calls
Grad: JK                            :     59.200u     25.883s     51.208w     53 calls
JKGrad: Amn                         :     16.967u      7.933s     14.928w     53 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     53 calls
JKGrad: AB                          :      8.367u      6.100s      8.763w     53 calls
JKGrad: UV                          :      0.467u      0.483s      0.553w     53 calls
JKGrad: ABx                         :      1.667u      1.817s      2.106w     53 calls
